date,cook,eat,math,music,pause,prep,sleep,uni,meditation,special,work
2019-05-01,00:33,01:46,03:31,01:57,01:13,05:49,11:43,01:38,00:00,00:00,00:00
2019-05-02,00:41,02:27,06:39,00:57,00:31,01:45,05:55,02:50,00:00,00:00,00:00
2019-05-03,00:56,01:57,00:00,00:10,00:52,03:50,12:15,05:45,00:15,00:00,00:00
2019-05-04,01:20,02:04,02:30,00:00,00:00,01:39,06:52,06:27,00:15,00:00,00:00
2019-05-05,00:17,02:18,02:45,01:00,00:00,05:01,08:26,05:17,00:20,00:00,00:00
2019-05-06,00:31,02:40,02:03,00:52,00:40,03:43,06:55,04:50,00:00,00:00,00:00
2019-05-07,01:00,02:06,03:05,00:57,00:40,03:20,08:29,03:37,00:30,00:00,00:00
2019-05-08,00:53,03:46,04:00,00:00,00:50,03:33,08:30,00:00,00:00,01:00,02:44
2019-05-09,01:17,00:39,02:30,00:38,02:20,02:30,07:00,04:01,00:00,00:00,02:35
2019-05-10,00:25,01:59,02:00,01:23,01:37,03:46,08:49,00:00,00:00,00:00,03:50
2019-05-11,00:57,02:07,01:13,00:30,00:40,03:36,10:06,03:13,00:00,00:00,03:05
2019-05-12,00:15,01:48,00:00,00:40,01:31,02:10,08:35,01:45,00:40,00:00,03:25
2019-05-13,01:13,03:10,03:02,01:40,01:28,04:11,08:15,00:00,00:00,00:00,03:46
2019-05-14,00:17,02:33,06:58,00:00,02:18,02:22,06:28,00:00,00:00,00:00,01:29
2019-05-15,00:22,00:49,02:31,00:00,00:39,04:17,10:49,00:00,01:00,00:00,03:28
2019-05-16,00:11,02:30,02:08,01:19,00:00,01:39,00:00,02:33,00:00,12:10,01:30
2019-05-17,00:17,00:48,00:00,02:54,00:00,06:40,15:36,00:00,00:00,00:00,00:00
2019-05-18,00:45,01:30,05:15,00:35,01:24,02:30,08:14,03:30,00:00,00:00,00:00
2019-05-19,00:42,03:18,00:51,00:00,00:45,04:58,07:53,01:20,00:00,00:00,02:30
2019-05-20,00:15,00:49,00:45,00:39,04:00,03:31,10:55,02:00,00:00,00:00,05:11
2019-05-21,00:22,02:55,01:16,00:40,00:00,02:25,06:50,03:00,00:00,00:00,02:22
2019-05-22,00:27,03:15,05:28,00:00,00:45,04:19,07:30,02:06,00:00,00:00,01:05
2019-05-23,00:29,01:18,02:20,01:03,01:55,03:25,05:00,01:15,00:15,00:00,02:15
2019-05-24,01:19,02:18,00:33,00:51,02:25,08:50,08:09,01:15,00:00,00:00,03:06
2019-05-25,00:30,03:05,00:00,00:00,00:10,05:14,09:35,03:55,00:00,00:00,02:45
2019-05-26,00:18,02:29,00:27,00:46,02:10,00:45,10:30,02:30,00:00,00:00,05:35
2019-05-27,00:39,02:30,01:30,00:41,00:00,04:55,07:15,00:00,00:00,00:00,03:00
2019-05-28,00:12,01:00,00:30,01:03,00:25,02:45,09:33,00:34,00:00,00:00,10:03
2019-05-29,00:31,02:45,01:09,00:00,00:30,06:20,07:56,00:00,02:00,00:00,00:00
2019-05-30,01:44,01:44,05:00,04:10,00:30,00:46,08:15,01:50,01:15,00:00,00:30
2019-05-31,00:30,01:25,00:30,01:00,00:00,08:20,01:10,00:00,01:00,00:00,02:35
